YEAR.Q,c,y,dc,dy
"1971-1",#N/A,#N/A,#N/A,#N/A
"1971-2",-0.023006529365491524,-0.021360925734122738,#N/A,#N/A
"1971-3",-0.0024652596059064891,0.014028082489232041,0.020541269759585035,0.035389008223354779
"1971-4",-0.0089835141266716434,-0.021290654660734099,-0.0065182545207651543,-0.03531873714996614
"1972-1",-0.01360557018577957,0.016290740176854612,-0.0046220560591079263,0.037581394837588711
"1972-2",0.012971859358444249,0.042219948066235524,0.026577429544223818,0.025929207889380912
"1972-3",0.031449179811228412,0.045986016330117785,0.018477320452784163,0.0037660682638822607
"1972-4",0.0043852018693311123,-0.0025860580061136673,-0.027063977941897299,-0.048572074336231452
"1973-1",0.034904625176103821,0.021001851928244442,0.030519423306772708,0.023587909934358109
"1973-2",0.0097807980977195896,0.029330564172586726,-0.025123827078384231,0.0083287122443422845
"1973-3",0.020409236433961198,-0.025518324574635542,0.010628438336241608,-0.054848888747222269
"1973-4",-0.0038741372744022229,0.0070710452047979544,-0.02428337370836342,0.032589369779433497
"1974-1",-0.0091776196164277124,-0.024871275439916296,-0.0053034823420254895,-0.03194232064471425
"1974-2",-0.0047717968852376558,-0.020189806486167861,0.0044058227311900566,0.0046814689537484355
"1974-3",-0.046810677588886129,0.012810352119877244,-0.042038880703648474,0.033000158606045105
"1974-4",-0.011586192637467185,-0.017778965102210442,0.035224484951418944,-0.030589317222087686
"1975-1",0.030873304495543152,0.041919780861039868,0.042459497133010338,0.05969874596325031
"1975-2",0.0089752705258145937,0.0053132860504803148,-0.021898033969728559,-0.036606494810559553
"1975-3",0.015865296659654859,-0.00075358945583747783,0.0068900261338402657,-0.0060668755063177926
"1975-4",0.081524533182122383,0.09989297762784588,0.065659236522467523,0.10064656708368336
"1976-1",-0.017149250612813027,-0.0052199590733064127,-0.09867378379493541,-0.10511293670115229
"1976-2",0.03647437186995095,-0.0067316910313461875,0.053623622482763977,-0.0015117319580397748
"1976-3",-0.010913408965855353,-0.038391279494930153,-0.047387780835806304,-0.031659588463583965
"1976-4",-0.0022724103227664827,0.012154075225271121,0.0086409986430888708,0.050545354720201274
"1977-1",0.012196637812287747,-0.036692905797853115,0.01446904813505423,-0.048846981023124236
"1977-2",-0.0079417830110255494,0.0698019191381265,-0.020138420823313297,0.10649482493597962
"1977-3",0.051658710508132977,0.033078706143231607,0.059600493519158526,-0.036723212994894894
"1977-4",-0.067904010762254607,0.0031547271486500605,-0.11956272127038758,-0.029923978994581546
"1978-1",0.027790385395067396,-0.034140644864603331,0.095694396157322004,-0.037295372013253392
"1978-2",0.023175291228632489,0.029659924982132324,-0.0046150941664349077,0.063800569846735655
"1978-3",0.018462689429757262,0.010130374782436391,-0.0047126017988752267,-0.019529550199695933
"1978-4",-0.034112664659555314,0.0092416829353831886,-0.052575354089312576,-0.00088869184705320237
"1979-1",0.030114134051879127,-0.020461265251924488,0.064226798711434441,-0.029702948187307676
"1979-2",0.0056923293782240592,0.010137259080350347,-0.024421804673655068,0.030598524332274835
"1979-3",-0.026215595431457572,-0.0034472446824231895,-0.031907924809681631,-0.013584503762773537
"1979-4",0.014567424052645883,0.0015184846790523565,0.040783019484103455,0.004965729361475546
"1980-1",-0.0073351013347631167,-0.02846518359980621,-0.021902525387409,-0.029983668278858566
"1980-2",-0.028774073015520152,0.020246418870686789,-0.021438971680757035,0.048711602470492998
"1980-3",0.0006476945978599602,-0.041449206354681856,0.029421767613380112,-0.061695625225368644
"1980-4",0.0034315419515191792,0.026296996602689582,0.002783847353659219,0.067746202957371437
"1981-1",-0.014301038024354007,-0.021008842425593421,-0.017732579975873186,-0.047305839028283003
"1981-2",-0.0022174529755467631,0.0076400035571877467,0.012083585048807244,0.028648845982781168
"1981-3",8.3723410103431206e-05,0.0089442181552792377,0.0023011763856501943,0.001304214598091491
"1981-4",0.014320937801794997,0.0075174228201753124,0.014237214391691566,-0.0014267953351039253
"1982-1",9.1367774513351208e-05,0.011095620900931635,-0.014229570027281646,0.003578198080756323
"1982-2",0.0068241714483674443,0.013296112409046934,0.0067328036738540931,0.0022004915081152987
